"prov","urban","sex","age","marital","education","length_stay","employment","income","sat_education","sat_job","sat_income","sat_health","sat_family","sat_leisure","sat_social","sat_safety","sat_environment","sat_home","happy"
"Sumatera Utara","Urban","Male",">60","Married","Low","41-60","Employed","<1M",5,5,5,8,8,6,10,8,10,7,8
"Sulawesi Utara","Urban","Male","51-60","Married","Medium","41-60","Employed","1.5M-2.5M",6,6,6,7,9,8,7,8,8,7,8
"Sulawesi Selatan","Urban","Female","31-40","Married","Low","21-40","Unemployed",NA,6,NA,7,8,8,8,8,8,7,7,8
"Jawa Barat","Rural","Male",">60","Not married","Low","21-40","Employed","1M-1.5M",7,7,7,8,7,7,7,10,8,7,7
"Bengkulu","Rural","Male",">60","Married","Medium","41-60","Employed",">4M",9,8,8,7,8,8,9,10,10,8,7
"Nusa Tenggara Timur","Rural","Female",">60","Not married","Low","61-80","Employed","1M-1.5M",3,8,6,7,10,8,9,10,9,5,8
"Sulawesi Tengah","Urban","Female","41-50","Married","High","<=20","Employed","2.5M-4M",8,8,8,8,9,8,8,7,9,8,8
"Jawa Barat","Rural","Female","21-30","Married","High","21-40","Unemployed",NA,8,NA,8,8,9,9,9,7,9,9,7
"Jawa Barat","Rural","Female","41-50","Married","Medium","41-60","Employed","<1M",7,8,8,8,8,8,10,9,9,9,8
"Sumatera Barat","Urban","Male","31-40","Not married","High","<=20","Employed","1.5M-2.5M",10,9,7,10,10,10,10,6,10,10,6
"Riau","Rural","Female","31-40","Married","Medium","21-40","Employed","<1M",7,8,8,7,8,7,7,7,8,8,8
"Aceh","Rural","Female","31-40","Married","High","21-40","Employed","<1M",8,6,5,7,9,8,7,8,7,4,7
"Kalimantan Barat","Rural","Female","31-40","Married","High","21-40","Employed","2.5M-4M",10,10,10,10,10,10,7,9,10,9,10
"Sulawesi Selatan","Rural","Female",">60","Not married","Low","21-40","Unemployed",NA,5,NA,7,9,10,9,7,10,10,5,9
"Sumatera Utara","Urban","Female","51-60","Not married","Medium","21-40","Employed",">4M",7,8,8,8,8,8,10,8,9,8,8
"Jawa Barat","Urban","Male","41-50","Married","Medium","21-40","Employed","2.5M-4M",5,8,8,7,3,6,8,7,8,8,5
"Sumatera Barat","Rural","Female","51-60","Married","Medium","41-60","Employed","<1M",7,7,6,8,8,9,9,9,9,6,8
"Jawa Tengah","Rural","Female","41-50","Not married","Low","41-60","Employed","1.5M-2.5M",8,8,8,7,9,8,7,9,9,8,7
"Kalimantan Tengah","Rural","Female","31-40","Married","Medium","21-40","Employed","<1M",5,7,4,8,10,10,8,10,8,8,6
"Sulawesi Selatan","Urban","Female","41-50","Married","Low","<=20","Employed","<1M",3,4,3,6,6,6,7,8,7,7,5
"Kalimantan Timur","Urban","Female",">60","Married","Low","<=20","Unemployed",NA,6,NA,6,6,9,6,7,8,7,7,7
"Papua","Rural","Female","51-60","Not married","Low","41-60","Employed","1M-1.5M",3,10,6,8,8,9,10,10,10,4,8
"Nusa Tenggara Barat","Urban","Female","21-30","Married","Medium","21-40","Employed","<1M",9,9,8,8,9,7,7,9,8,7,9
"Jawa Timur","Urban","Male","31-40","Married","Low","<=20","Employed","1M-1.5M",6,5,5,8,8,8,6,7,7,7,6
"Papua","Rural","Male","41-50","Married","Low","41-60","Employed","1M-1.5M",6,6,7,7,7,7,8,8,7,8,6
"Jawa Timur","Urban","Male","31-40","Married","High","<=20","Employed","2.5M-4M",8,8,8,7,9,8,2,8,8,9,9
"Sumatera Barat","Rural","Female","31-40","Married","Medium","21-40","Employed","2.5M-4M",8,7,8,9,9,9,8,7,8,7,9
"Jawa Timur","Rural","Female","21-30","Married","Low","21-40","Employed","<1M",1,6,6,7,8,7,10,10,10,6,8
"Sumatera Utara","Urban","Male",">60","Married","Medium","61-80","Employed","1.5M-2.5M",7,4,3,10,4,9,4,9,8,9,9
"Sumatera Selatan","Rural","Female","21-30","Married","Medium","<=20","Unemployed",NA,8,NA,8,8,9,8,8,9,8,6,8
"Sumatera Utara","Rural","Female","31-40","Married","Medium","21-40","Unemployed",NA,2,NA,1,9,8,10,7,9,8,1,7
"Jawa Timur","Urban","Male",">60","Married","Low","61-80","Employed","<1M",7,7,6,10,9,10,10,10,10,9,9
"Sulawesi Utara","Urban","Female","51-60","Not married","High","21-40","Unemployed",NA,8,NA,8,10,9,8,8,8,7,8,8
"Kalimantan Tengah","Rural","Male","31-40","Married","Medium","21-40","Employed","1M-1.5M",5,7,7,8,9,3,8,8,7,5,7
"Sumatera Barat","Urban","Female","41-50","Married","Medium","<=20","Employed","2.5M-4M",9,10,8,10,10,10,10,8,10,10,9
"Sumatera Utara","Rural","Female","31-40","Married","Medium","<=20","Employed","1M-1.5M",7,8,9,8,10,9,9,9,9,9,9
"Sumatera Barat","Rural","Female","31-40","Married","Medium","<=20","Employed","1M-1.5M",7,7,6,7,7,7,7,7,7,7,7
"Bengkulu","Rural","Female","51-60","Married","Low","<=20","Unemployed",NA,4,NA,7,7,8,7,6,8,8,6,7
"Bengkulu","Rural","Male","51-60","Married","Low","41-60","Employed",">4M",5,6,7,7,6,5,7,4,7,5,6
"Jawa Barat","Urban","Female","41-50","Married","Medium","41-60","Employed","1M-1.5M",6,7,4,7,9,9,8,9,9,8,7
"Kalimantan Timur","Rural","Female","31-40","Married","Medium","<=20","Employed",">4M",8,9,9,9,9,9,9,9,9,8,8
"Kalimantan Tengah","Urban","Male","51-60","Married","Medium","<=20","Employed",">4M",8,9,9,10,10,8,10,10,10,10,10
"Nusa Tenggara Barat","Urban","Male","41-50","Married","Medium","41-60","Employed","1M-1.5M",4,7,3,10,10,5,9,10,7,8,10
"Sulawesi Tenggara","Rural","Female","41-50","Married","Medium","41-60","Employed","2.5M-4M",4,8,6,4,7,7,8,7,7,5,8
"Sulawesi Selatan","Rural","Female",">60","Married","Low","41-60","Unemployed",NA,2,NA,7,8,9,8,9,10,10,8,8
"Papua","Rural","Female","41-50","Not married","Low","41-60","Employed","1.5M-2.5M",6,8,7,10,9,9,8,10,9,9,9
"Jawa Barat","Rural","Male","41-50","Married","Medium","21-40","Employed","1.5M-2.5M",6,8,7,9,8,8,8,9,7,8,8
"Sulawesi Utara","Rural","Female","21-30","Married","Medium","21-40","Employed","<1M",8,9,8,7,9,9,9,10,9,10,10
"Sumatera Barat","Rural","Female","21-30","Not married","Medium","<=20","Employed","1.5M-2.5M",7,7,6,8,8,8,9,8,8,6,8
"Jawa Tengah","Urban","Male","51-60","Married","Low","41-60","Employed","<1M",2,5,6,8,7,7,8,8,8,7,6
"Kalimantan Selatan","Rural","Male",">60","Not married","Low","<=20","Unemployed",NA,5,NA,4,6,8,7,7,7,7,7,7
"Aceh","Rural","Female","31-40","Married","Medium","<=20","Employed","<1M",9,6,8,7,9,8,9,9,9,9,8
"Aceh","Rural","Female","41-50","Not married","High","<=20","Employed","1M-1.5M",8,7,5,7,7,6,7,9,8,6,7
"Gorontalo","Urban","Female","51-60","Married","Medium","41-60","Unemployed",NA,9,NA,9,10,10,10,10,9,9,10,10
"Kepulauan Bangka Belitung","Urban","Female",">60","Married","Low","41-60","Unemployed",NA,8,NA,8,9,10,9,9,10,10,9,9
"Sulawesi Tenggara","Rural","Male","31-40","Married","Medium","<=20","Unemployed",NA,5,NA,10,8,10,10,10,9,10,8,10
"Sulawesi Tengah","Rural","Female","41-50","Married","High","<=20","Employed",">4M",7,9,8,9,9,9,9,9,9,8,8
"Kalimantan Tengah","Urban","Female","21-30","Married","Medium","<=20","Unemployed",NA,8,NA,8,8,8,8,9,8,9,8,8
"Nusa Tenggara Timur","Rural","Male","41-50","Married","Low","41-60","Employed","1M-1.5M",5,7,8,9,9,4,9,9,8,9,6
"Nusa Tenggara Barat","Urban","Male",">60","Married","Low","61-80","Unemployed",NA,7,NA,6,7,9,9,9,9,10,9,9
"Jawa Timur","Urban","Female","21-30","Married","Medium","21-40","Employed","2.5M-4M",6,6,6,8,8,8,7,10,10,6,7
"Kepulauan Bangka Belitung","Rural","Female","51-60","Not married","Low","21-40","Employed","1M-1.5M",2,7,7,3,8,9,10,9,10,7,10
"Di Yogyakarta","Rural","Female",">60","Married","Low","61-80","Employed","1M-1.5M",5,8,7,8,8,8,8,8,8,8,8
"Jawa Barat","Rural","Male",">60","Married","Low","61-80","Unemployed",NA,0,NA,9,10,10,8,10,7,10,8,7
"Sulawesi Tenggara","Rural","Female","31-40","Married","Low","21-40","Employed","<1M",4,6,7,7,8,6,8,9,7,7,8
"Kepulauan Riau","Urban","Male","51-60","Married","Medium","<=20","Employed",">4M",4,8,7,7,7,6,7,7,8,8,8
"Banten","Urban","Female","41-50","Married","Medium","41-60","Unemployed",NA,6,NA,6,7,8,8,6,7,7,8,8
"Kalimantan Selatan","Rural","Male","31-40","Not married","Low","21-40","Employed","1.5M-2.5M",3,6,7,6,7,6,7,7,7,6,6
"Sumatera Selatan","Rural","Female","31-40","Married","Medium","<=20","Unemployed",NA,4,NA,6,7,9,7,8,5,8,6,8
"Jawa Barat","Urban","Female","41-50","Not married","Low","41-60","Employed","<1M",1,5,4,7,8,5,7,10,8,6,7
"Jawa Tengah","Rural","Male","51-60","Married","Low","41-60","Employed","<1M",7,8,8,9,9,8,9,9,9,4,7
"Kalimantan Selatan","Urban","Male","41-50","Married","Medium","<=20","Employed","2.5M-4M",9,9,9,9,9,9,10,10,10,10,10
"Jawa Tengah","Urban","Female","21-30","Married","Low","<=20","Unemployed",NA,5,NA,8,10,10,10,8,8,9,8,8
"Jawa Barat","Urban","Female","31-40","Married","Medium","<=20","Unemployed",NA,9,NA,6,9,10,10,10,10,10,10,10
"Jawa Timur","Rural","Female","41-50","Married","Low","41-60","Employed","1M-1.5M",6,7,6,7,7,6,7,7,7,7,7
"Sulawesi Selatan","Urban","Female","31-40","Married","High","<=20","Employed",">4M",7,9,9,9,10,9,9,8,7,8,9
"Sumatera Utara","Urban","Male","31-40","Married","High","<=20","Employed","1M-1.5M",10,5,5,10,10,10,7,6,8,10,4
"Kalimantan Selatan","Urban","Female","41-50","Married","Low","41-60","Unemployed",NA,5,NA,6,7,8,8,7,8,8,7,8
"Kalimantan Utara","Rural","Male","41-50","Married","Medium","21-40","Employed","<1M",6,6,7,7,9,9,8,8,8,9,8
"Kepulauan Riau","Urban","Male","31-40","Not married","Medium","<=20","Employed","2.5M-4M",7,6,6,8,8,7,7,7,6,6,7
"Riau","Rural","Female","41-50","Married","Low","41-60","Employed","1.5M-2.5M",5,7,7,5,5,5,9,10,10,10,7
"Jawa Tengah","Urban","Female","21-30","Not married","Medium","<=20","Unemployed",NA,5,NA,3,9,9,8,7,9,9,9,8
"Gorontalo","Rural","Male","41-50","Married","Low","<=20","Employed","2.5M-4M",5,7,7,7,7,7,7,7,7,7,8
"Papua","Rural","Male","31-40","Married","Low","21-40","Employed","1M-1.5M",5,7,7,8,8,7,9,8,8,7,8
"Sulawesi Utara","Urban","Female","31-40","Married","High","<=20","Employed","2.5M-4M",10,10,10,10,10,8,10,10,10,10,10
"Nusa Tenggara Timur","Urban","Female","51-60","Married","Low","21-40","Employed","<1M",5,7,4,7,10,5,10,10,3,4,8
"Jawa Tengah","Urban","Female","51-60","Married","Low","41-60","Employed","1M-1.5M",5,8,7,8,8,7,8,8,8,8,7
"Jawa Timur","Urban","Male","31-40","Married","Medium","<=20","Employed","1M-1.5M",4,9,9,8,9,8,6,9,8,9,7
"Sulawesi Selatan","Rural","Female","51-60","Not married","Low","41-60","Unemployed",NA,6,NA,4,7,7,7,8,9,8,8,8
"Jambi","Rural","Female","41-50","Married","Low","21-40","Employed","1M-1.5M",7,7,7,7,7,7,7,8,7,8,8
"Lampung","Urban","Female","51-60","Married","Low","21-40","Employed","<1M",6,7,7,7,7,7,8,8,7,7,7
"Sumatera Barat","Urban","Female",">60","Married","Low","<=20","Employed","1M-1.5M",3,7,6,7,7,6,6,7,7,6,6
"Sulawesi Tenggara","Rural","Female","51-60","Not married","Low","41-60","Employed","1M-1.5M",7,7,8,9,10,9,10,10,9,10,8
"Maluku","Rural","Male",">60","Married","Low","41-60","Employed","<1M",5,7,6,7,8,7,8,9,9,7,8
"Sumatera Barat","Rural","Female","41-50","Married","Low","41-60","Unemployed",NA,7,NA,7,8,8,8,8,8,9,8,10
"Sumatera Utara","Rural","Female","31-40","Married","Low","21-40","Unemployed",NA,3,NA,7,8,7,8,8,10,9,6,8
"Bali","Rural","Female","51-60","Not married","Medium","21-40","Unemployed",NA,7,NA,6,7,7,8,8,7,7,8,8
"Sumatera Barat","Urban","Female","31-40","Married","High","21-40","Employed","2.5M-4M",8,9,10,9,10,5,9,10,9,9,10
"Kalimantan Utara","Rural","Male","41-50","Married","Medium","<=20","Employed","<1M",3,7,5,9,10,3,9,10,8,3,7
"Sumatera Selatan","Urban","Female","41-50","Married","Low","41-60","Employed","1M-1.5M",3,6,5,8,7,7,7,8,7,6,7
"Sumatera Barat","Urban","Male",">60","Married","Medium","41-60","Unemployed",NA,6,NA,6,10,10,10,8,8,8,6,8
"Gorontalo","Urban","Female","51-60","Married","Medium","41-60","Employed",">4M",10,9,10,9,10,8,7,9,10,9,8
"Kepulauan Riau","Urban","Female","41-50","Married","Medium","<=20","Employed",">4M",5,8,7,8,8,8,8,9,8,8,9
"Sumatera Selatan","Rural","Male","51-60","Married","Low","21-40","Employed","1M-1.5M",8,9,9,7,8,8,10,9,8,9,9
"Jawa Timur","Urban","Female","41-50","Not married","High","41-60","Employed","2.5M-4M",8,8,8,7,8,6,8,8,8,8,8
"Sumatera Selatan","Urban","Male","31-40","Married","Medium","<=20","Unemployed",NA,7,NA,7,10,10,7,7,8,9,9,8
"Sumatera Selatan","Rural","Female","31-40","Married","Low","21-40","Unemployed",NA,4,NA,4,7,8,7,7,7,5,5,6
"Papua","Rural","Male","21-30","Married","Low","21-40","Employed","1.5M-2.5M",3,4,5,7,8,9,8,9,8,4,5
"Jawa Tengah","Urban","Female","41-50","Married","Medium","41-60","Employed","1M-1.5M",6,7,8,8,8,8,9,8,9,8,7
"Sumatera Barat","Urban","Female","41-50","Married","Low","41-60","Unemployed",NA,5,NA,7,7,9,9,8,8,8,7,7
"Sumatera Selatan","Rural","Female","<=20","Married","Low","<=20","Unemployed",NA,4,NA,5,9,9,8,7,8,8,5,7
"Jawa Tengah","Urban","Male","51-60","Married","Medium","41-60","Employed",">4M",7,7,7,8,7,7,8,8,8,7,6
"Jawa Barat","Urban","Male","31-40","Married","Medium","<=20","Employed","2.5M-4M",4,5,5,6,5,6,6,6,5,6,5
"Jawa Timur","Rural","Male","41-50","Married","Medium","41-60","Employed","1M-1.5M",5,7,7,8,9,8,8,8,9,8,9
"Maluku Utara","Rural","Male","51-60","Married","Low","21-40","Employed","1M-1.5M",6,7,6,7,8,8,8,8,7,7,7
"Jawa Timur","Rural","Female","51-60","Not married","Low","21-40","Employed","1M-1.5M",5,6,5,7,7,7,8,8,8,8,7
"Kepulauan Riau","Urban","Female","21-30","Not married","Medium","<=20","Unemployed",NA,5,NA,7,6,7,8,7,9,9,8,6
"Riau","Urban","Female","31-40","Married","Medium","21-40","Unemployed",NA,8,NA,8,8,7,9,8,8,8,8,9
"Sulawesi Selatan","Rural","Female","31-40","Married","Low","21-40","Unemployed",NA,4,NA,5,9,10,7,10,9,9,7,8
"Nusa Tenggara Timur","Rural","Male","41-50","Married","Medium","41-60","Employed","<1M",8,9,7,10,10,10,10,10,8,8,8
"Sumatera Selatan","Urban","Female","21-30","Married","Low","<=20","Employed","1M-1.5M",8,9,7,10,8,7,6,4,8,7,10
"Bengkulu","Rural","Male","21-30","Married","Medium","<=20","Employed","<1M",7,9,7,9,10,6,8,9,9,6,9
"Sulawesi Selatan","Rural","Female","41-50","Married","Low","21-40","Employed","<1M",5,10,6,8,9,10,10,8,7,6,10
"Sumatera Selatan","Urban","Female","31-40","Married","Medium","<=20","Employed",">4M",8,9,8,7,10,7,8,6,8,9,8
"Banten","Urban","Male","31-40","Married","Medium","21-40","Employed","1.5M-2.5M",6,7,7,7,7,6,7,8,8,7,6
"Jawa Tengah","Urban","Female","31-40","Not married","Medium","21-40","Unemployed",NA,5,NA,10,10,10,7,7,8,8,10,9
"Jambi","Rural","Male","41-50","Married","Medium","<=20","Employed","2.5M-4M",7,8,7,8,9,8,8,8,8,8,8
"Sulawesi Tenggara","Urban","Male","41-50","Not married","Medium","41-60","Employed","1.5M-2.5M",7,6,6,6,7,6,7,7,7,6,6
"Sumatera Barat","Urban","Female","41-50","Married","Medium","41-60","Unemployed",NA,7,NA,8,3,8,8,7,8,7,7,7
"Sumatera Utara","Urban","Male","41-50","Married","High","<=20","Employed",">4M",8,8,9,9,9,8,10,8,8,8,8
"Kalimantan Selatan","Rural","Female","51-60","Married","Low","41-60","Unemployed",NA,8,NA,8,8,9,7,8,9,9,9,10
"Kalimantan Barat","Urban","Female","51-60","Married","Low","<=20","Employed","1.5M-2.5M",7,8,8,9,10,8,7,8,8,9,6
"Papua","Urban","Female","31-40","Married","Low","<=20","Unemployed",NA,4,NA,6,8,9,4,4,2,5,7,5
"Sulawesi Tenggara","Rural","Female","41-50","Married","High","<=20","Employed",">4M",10,9,8,8,9,8,7,7,7,9,9
"Jawa Tengah","Rural","Female","31-40","Married","Low","<=20","Employed","1.5M-2.5M",4,9,8,8,9,10,8,9,9,8,9
"Jawa Timur","Rural","Male",">60","Married","Low","61-80","Unemployed",NA,7,NA,7,7,9,7,8,8,8,7,8
"Jawa Barat","Urban","Female","41-50","Married","Medium","<=20","Unemployed",NA,6,NA,6,10,9,8,6,7,7,7,6
"Sumatera Utara","Rural","Female","31-40","Married","Medium","<=20","Employed","2.5M-4M",2,8,8,6,8,8,8,8,8,8,5
"Papua","Urban","Female","41-50","Married","High","<=20","Employed",">4M",8,9,9,9,9,9,8,8,8,9,7
"Kalimantan Selatan","Urban","Female",">60","Not married","Low","21-40","Employed","<1M",7,7,3,5,6,7,7,8,7,2,5
"Jawa Tengah","Rural","Male","31-40","Married","Medium","21-40","Employed","2.5M-4M",7,7,7,7,9,8,7,7,7,7,7
"Sumatera Selatan","Rural","Male",">60","Married","Low","41-60","Employed","<1M",5,6,6,7,8,7,8,8,8,6,7
"Sumatera Selatan","Rural","Male","21-30","Married","Low","21-40","Employed","2.5M-4M",4,6,4,7,10,9,8,7,9,9,10
"Sumatera Utara","Urban","Male","41-50","Married","Medium","41-60","Employed","1M-1.5M",6,6,6,7,8,6,8,8,8,7,8
"Banten","Urban","Female",">60","Married","Low","61-80","Unemployed",NA,5,NA,5,8,8,8,9,8,8,7,7
"Sumatera Selatan","Rural","Male","41-50","Married","Medium","41-60","Employed","1.5M-2.5M",5,5,5,9,8,6,7,7,9,6,5
"Sulawesi Utara","Urban","Male",">60","Not married","Low","21-40","Employed","1.5M-2.5M",7,8,7,5,10,8,8,8,8,8,9
"Maluku","Rural","Male","31-40","Not married","Low","21-40","Employed","<1M",3,4,3,6,6,5,10,10,9,4,7
"Sulawesi Utara","Rural","Male","51-60","Married","Low","21-40","Employed",">4M",10,6,6,7,10,8,10,6,10,4,7
"Jawa Tengah","Urban","Female","41-50","Married","Medium","21-40","Employed","<1M",5,5,5,5,5,10,10,7,10,4,7
"Sulawesi Utara","Rural","Female",">60","Not married","Low","61-80","Employed","<1M",2,7,7,8,8,7,8,8,9,8,7
"Sulawesi Selatan","Urban","Female",">60","Not married","Low","41-60","Unemployed",NA,5,NA,7,8,7,7,9,8,8,7,8
"Sumatera Utara","Urban","Male",">60","Married","High","<=20","Unemployed",NA,8,NA,7,8,9,8,8,8,8,9,9
"Jawa Tengah","Rural","Female","51-60","Not married","Low","41-60","Employed","<1M",8,8,7,10,9,8,6,8,9,8,9
"Jambi","Urban","Female","21-30","Married","Medium","<=20","Unemployed",NA,8,NA,6,7,10,8,8,8,7,7,8
"Di Yogyakarta","Urban","Female",">60","Married","Low","<=20","Unemployed",NA,8,NA,8,8,9,8,8,8,8,8,8
"Jawa Timur","Urban","Female",">60","Not married","Low","61-80","Unemployed",NA,4,NA,6,7,7,8,8,9,8,6,7
"Maluku Utara","Rural","Male","41-50","Married","Low","41-60","Employed","2.5M-4M",4,7,8,7,8,7,8,8,8,8,8
"Kalimantan Barat","Rural","Male","51-60","Married","Low","41-60","Employed","<1M",3,5,4,5,5,5,10,10,4,8,6
"Aceh","Rural","Male","51-60","Married","Medium","41-60","Employed","2.5M-4M",3,6,6,7,8,6,8,7,8,6,6
"Kalimantan Barat","Urban","Male","51-60","Married","Medium","21-40","Unemployed",NA,9,NA,9,10,10,9,7,7,7,10,9
"Maluku Utara","Rural","Male","31-40","Married","Medium","21-40","Employed","1M-1.5M",6,7,2,9,10,9,10,10,10,10,10
"Papua","Rural","Male","31-40","Married","Medium","21-40","Unemployed",NA,5,NA,7,8,8,8,7,7,8,7,7
"Gorontalo","Urban","Male","51-60","Married","Medium","41-60","Employed","1.5M-2.5M",8,8,4,9,9,8,9,9,2,8,7
"Kalimantan Selatan","Urban","Male","51-60","Married","High","<=20","Employed",">4M",9,9,9,8,9,9,7,7,8,10,8
"Papua","Rural","Male","21-30","Not married","Low","<=20","Unemployed",NA,5,NA,4,8,9,8,6,9,7,6,4
"Jawa Tengah","Urban","Female","41-50","Married","Medium","<=20","Employed","<1M",5,6,1,6,10,6,6,10,6,6,6
"Nusa Tenggara Timur","Urban","Male","31-40","Married","Medium","<=20","Employed","1M-1.5M",5,5,6,7,10,9,7,6,7,10,8
"Jawa Timur","Rural","Male","31-40","Married","Low","21-40","Employed","<1M",7,7,7,8,8,8,5,8,8,7,7
"Jawa Tengah","Urban","Male","31-40","Not married","Medium","21-40","Employed","<1M",2,3,2,5,10,10,9,8,10,2,5
"Jawa Barat","Urban","Female","41-50","Married","Medium","<=20","Employed","1M-1.5M",9,8,8,8,10,8,7,9,10,9,10
"Bali","Urban","Male","31-40","Married","Medium","<=20","Employed","2.5M-4M",7,8,7,8,8,9,8,7,7,8,9
"Jawa Barat","Urban","Male","31-40","Married","High","<=20","Employed","2.5M-4M",7,6,7,9,9,8,8,8,9,8,9
"Sulawesi Selatan","Rural","Male","51-60","Married","Low","41-60","Employed","1.5M-2.5M",5,8,7,8,9,9,8,7,8,9,8
"Aceh","Rural","Male",">60","Married","Low","61-80","Unemployed",NA,6,NA,6,7,7,6,6,7,7,6,5
"Bali","Urban","Female","51-60","Married","Medium","21-40","Employed","1.5M-2.5M",7,6,2,8,4,6,10,9,10,7,5
"Sumatera Barat","Rural","Female",">60","Married","Low","41-60","Unemployed",NA,5,NA,5,8,8,8,8,8,8,7,8
"Jawa Tengah","Urban","Male","51-60","Married","Low","41-60","Employed","2.5M-4M",2,5,7,8,8,7,8,9,9,6,7
"Jawa Tengah","Urban","Male","51-60","Married","Low","41-60","Unemployed",NA,5,NA,7,6,10,8,9,10,9,10,8
"Jawa Tengah","Rural","Female","51-60","Not married","Low","41-60","Employed","1M-1.5M",7,7,7,7,7,7,7,7,7,7,7
"Jawa Timur","Urban","Female",">60","Not married","Medium","61-80","Employed","<1M",5,3,3,8,7,7,8,7,6,5,7
"Papua","Rural","Female","31-40","Not married","Low","21-40","Employed","1M-1.5M",3,7,8,7,9,7,8,8,8,3,7
"Jawa Timur","Rural","Male","51-60","Married","Low","41-60","Employed","<1M",5,5,5,6,7,7,7,8,8,6,6
"Bengkulu","Rural","Male","31-40","Married","Medium","21-40","Employed","1.5M-2.5M",7,8,9,10,9,6,6,10,9,8,8
"Jawa Tengah","Urban","Male","21-30","Married","Medium","<=20","Employed","<1M",2,9,5,4,10,8,9,9,8,10,8
"Nusa Tenggara Timur","Rural","Male","51-60","Married","Low","41-60","Employed","<1M",5,8,7,8,6,8,8,8,8,7,8
"Jawa Timur","Urban","Male","41-50","Married","Low","41-60","Employed","1.5M-2.5M",2,6,7,8,8,8,8,8,8,8,8
"Sulawesi Barat","Urban","Female","31-40","Married","Low","<=20","Unemployed",NA,6,NA,7,6,9,7,8,6,7,6,8
"Jambi","Rural","Female","41-50","Married","Low","41-60","Employed","1M-1.5M",8,6,4,7,9,9,8,9,10,9,10
"Jawa Barat","Rural","Male","31-40","Married","Low","21-40","Employed","1M-1.5M",8,6,4,9,9,8,9,7,9,9,7
"Jambi","Rural","Male","51-60","Not married","Low","41-60","Employed","<1M",3,4,3,8,9,8,9,9,9,7,8
"Lampung","Rural","Female",">60","Married","Low","41-60","Employed","1.5M-2.5M",7,7,7,7,8,7,8,8,8,8,8
"Jambi","Urban","Female","31-40","Married","High","<=20","Employed","2.5M-4M",4,4,7,10,10,10,7,7,8,10,10
"Kalimantan Timur","Urban","Male","31-40","Married","Medium","<=20","Employed","1M-1.5M",4,6,7,8,8,7,7,7,7,6,7
"Nusa Tenggara Barat","Urban","Female","21-30","Married","Medium","<=20","Unemployed",NA,5,NA,7,8,7,6,7,7,7,7,5
"Riau","Urban","Male","41-50","Married","Medium","21-40","Employed",">4M",8,9,9,8,9,9,8,8,8,8,9
"Sumatera Utara","Urban","Female","21-30","Married","Medium","<=20","Employed","1.5M-2.5M",7,7,7,8,9,7,4,7,8,7,7
"Sulawesi Utara","Urban","Male","51-60","Married","Medium","21-40","Employed","<1M",5,8,7,10,10,8,10,9,10,7,8
"Jawa Timur","Urban","Male","31-40","Married","Medium","21-40","Unemployed",NA,8,NA,7,10,10,8,10,9,10,7,7
"Sumatera Utara","Rural","Female",">60","Married","High","41-60","Unemployed",NA,10,NA,9,5,8,8,7,9,9,10,9
"Jawa Timur","Urban","Female","51-60","Married","Low","41-60","Employed","1M-1.5M",5,7,5,6,6,5,6,7,5,6,8
"Jawa Tengah","Urban","Female","51-60","Married","Low","41-60","Unemployed",NA,7,NA,8,8,8,8,8,9,8,8,8
"Jawa Tengah","Urban","Male",">60","Not married","High","<=20","Unemployed",NA,6,NA,9,8,9,8,8,8,8,8,8
"Jawa Tengah","Urban","Female","41-50","Married","Low","21-40","Unemployed",NA,6,NA,4,10,9,8,8,8,9,7,6
"Sulawesi Tengah","Rural","Female","41-50","Married","Medium","41-60","Employed","<1M",7,6,5,6,6,6,6,7,6,7,7
"Nusa Tenggara Timur","Rural","Female",">60","Not married","Low","41-60","Employed","1M-1.5M",6,8,8,8,8,7,10,10,10,10,10
"Papua Barat","Urban","Male","31-40","Married","Medium","<=20","Employed",">4M",7,10,9,9,10,8,8,8,10,10,8
"Jawa Barat","Rural","Male","41-50","Married","Low","41-60","Employed","1M-1.5M",1,7,7,8,8,8,8,7,8,8,8
"Aceh","Urban","Female","21-30","Married","Medium","<=20","Unemployed",NA,7,NA,8,9,9,8,8,8,7,8,8
"Dki Jakarta","Urban","Female",">60","Not married","Medium","61-80","Employed","1M-1.5M",4,9,6,4,9,8,8,7,9,8,7
"Kalimantan Selatan","Rural","Female","31-40","Married","Medium","<=20","Unemployed",NA,1,NA,2,5,8,10,9,8,8,7,8
"Papua Barat","Rural","Female","31-40","Married","High","<=20","Employed","2.5M-4M",8,8,6,6,10,6,7,8,9,10,8
"Kepulauan Riau","Urban","Male","31-40","Married","Medium","<=20","Employed",">4M",7,8,8,9,10,9,10,9,8,10,10
"Lampung","Urban","Male","41-50","Married","Medium","<=20","Employed",">4M",6,8,8,8,8,6,7,6,7,6,7
"Gorontalo","Urban","Male","41-50","Married","Medium","41-60","Employed","2.5M-4M",9,9,8,8,9,8,10,8,10,10,9
"Jawa Barat","Urban","Female","21-30","Married","Medium","21-40","Unemployed",NA,8,NA,7,8,9,8,8,7,10,7,8
"Jawa Tengah","Urban","Female","51-60","Married","Medium","41-60","Unemployed",NA,8,NA,6,7,9,8,10,8,6,9,7
"Kalimantan Barat","Urban","Female","41-50","Married","Medium","21-40","Employed","1M-1.5M",7,7,7,8,9,10,9,10,10,8,10
